Id,SalePrice
1461,112734.48846561293
1462,148276.39872282173
1463,170323.17117509566
1464,195044.13423947146
1465,195067.21935897082
1466,168864.76773731638
1467,183144.38447647035
1468,163192.1345093971
1469,187347.80542722883
1470,120354.19428231668
1471,174391.44608655735
1472,102321.15110571629
1473,95988.86832558487
1474,145907.4726367394
1475,114732.95428164229
1476,348016.6060904778
1477,244894.31146540435
1478,297618.50274726277
1479,298375.82869655016
1480,486611.4823465369
1481,325898.0555196815
1482,217407.39027546343
1483,169204.48729748485
1484,169974.1150155803
1485,200722.86282734148
1486,191473.49930124797
1487,338871.681233009
1488,236658.3039273611
1489,184187.63622275562
1490,231348.52090622592
1491,193313.614309864
1492,90451.00883091496
1493,198870.15662048795
1494,290838.78918048553
1495,279622.16933558206
1496,233198.4232258859
1497,175056.0671879824
1498,179399.8212100842
1499,166386.72334370154
1500,160990.83590352573
1501,172300.67426341586
1502,157173.60314212268
1503,276708.0213567086
1504,250465.19284407122
1505,227261.12377630934
1506,190696.69044954644
1507,241154.7184295534
1508,193529.8458274753
1509,157985.27406495422
1510,144801.85496725663
1511,155106.15682073965
1512,171013.90141148723
1513,147670.73413893758
1514,148661.0574065011
1515,184912.6889874801
1516,150706.99853832502
1517,163810.35999336932
1518,129778.92577347916
1519,206834.51813567113
1520,126130.29285134717
1521,123630.62909429321
1522,174831.00208419777
1523,109871.13840765427
1524,118779.54814224756
1525,116084.31216285155
1526,107420.26378938896
1527,109640.19382519355
1528,135008.91441249792
1529,149701.050156966
1530,209304.48415631847
1531,120106.35481221712
1532,102451.35493093524
1533,146271.89045986065
1534,126101.13617552606
1535,132683.4005327925
1536,106650.47061678767
1537,59072.61314496757
1538,145060.79125649593
1539,183295.80905066858
1540,86017.81009525157
1541,132299.14749087923
1542,130614.00203831849
1543,173044.1645783859
1544,92221.02077334606
1545,115909.67269667951
1546,142688.87151428653
1547,129689.47008479315
1548,138865.3638634917
1549,125294.66592905347
1550,135102.8730407617
1551,107369.53499655935
1552,144811.57059221854
1553,135742.833153387
1554,123383.53663797902
1555,148850.58959448888
1556,89233.78758215196
1557,94889.24784297725
1558,106828.91311479396
1559,71719.62765877422
1560,129377.10524466829
1561,113255.06866477769
1562,134263.68908668341
1563,120490.6482417933
1564,153393.1686169014
1565,143104.13952631847
1566,234871.09130801147
1567,79478.29367696159
1568,244217.33461223965
1569,123667.49378350179
1570,141417.44254889624
1571,109952.51216913553
1572,134516.11665736977
1573,215618.29837580313
1574,113926.39586340723
1575,227522.9973727534
1576,251534.67037636478
1577,183592.86466413928
1578,145703.95519200346
1579,137924.14048560185
1580,197309.42189967874
1581,158519.23852452313
1582,129939.55060767241
1583,282368.3130340849
1584,222852.36775450988
1585,137944.47431336372
1586,77535.76318981475
1587,108422.10849964019
1588,151533.55128252352
1589,93966.55818870275
1590,132423.05122755884
1591,89913.28927981394
1592,111998.69719223937
1593,140038.8951865644
1594,130220.13380038129
1595,103787.85231089106
1596,213934.8934743511
1597,192636.91907010868
1598,223168.00970061528
1599,173979.2362786388
1600,167292.37397084737
1601,68287.93202233447
1602,112291.46504457666
1603,82770.64597642243
1604,254634.8461126074
1605,244038.50447688185
1606,168394.58454899525
1607,179881.51588542823
1608,226002.0044027795
1609,179552.5454585479
1610,149082.6138090959
1611,137743.99232924162
1612,167068.95875047077
1613,165860.75721889833
1614,128458.06271141567
1615,93827.13299466354
1616,80327.25661040988
1617,96332.22267271753
1618,132285.1396212659
1619,147196.29705939113
1620,160611.1415254593
1621,128768.54220845833
1622,152496.8206521054
1623,261537.81890822295
1624,201321.07272668614
1625,116157.68252520556
1626,172924.5565132852
1627,187061.73460028734
1628,276837.5856272199
1629,181843.73668759712
1630,321146.2621817465
1631,219591.02912482392
1632,227351.42432855043
1633,188136.1849639053
1634,189784.36208735078
1635,176734.64163730986
1636,155672.23030141098
1637,195568.75743352922
1638,176999.27368962797
1639,185622.0479550239
1640,246954.7576277957
1641,176180.04797015773
1642,244877.83025710535
1643,214796.17777653964
1644,240175.1895514483
1645,207238.9346951112
1646,165033.92402442114
1647,160292.7291515772
1648,129176.88918930593
1649,146039.68209432776
1650,117431.41702577814
1651,122667.08187652484
1652,103878.27527193155
1653,106673.74291779025
1654,150134.9869347617
1655,138587.4708399081
1656,141661.2172871049
1657,152738.28129319756
1658,153520.999371431
1659,126824.48181560563
1660,155525.58929228553
1661,413100.53681641276
1662,393406.0136947885
1663,358635.2726316438
1664,479615.71240806195
1665,302527.67428031145
1666,317062.58213000325
1667,366587.13103437715
1668,350001.33474758075
1669,312322.28084151214
1670,340665.1617060223
1671,258663.29868316866
1672,420241.4548640445
1673,295790.7969336242
1674,244377.88703233804
1675,193022.07821664002
1676,191325.70273884974
1677,212371.34244975963
1678,432560.249218904
1679,384338.59176027786
1680,311426.3031641153
1681,243811.364012279
1682,315849.5849321731
1683,191912.50359451328
1684,181156.10814580476
1685,176546.31803296148
1686,177276.8980524222
1687,175548.93306164347
1688,188124.1429987059
1689,196752.03882575082
1690,204194.97155573778
1691,196755.33123874568
1692,266516.869166395
1693,174305.69370518223
1694,187719.74153605982
1695,175638.60262049435
1696,268548.4846214488
1697,180449.51257849942
1698,336861.2840843448
1699,327883.80886481144
1700,256517.98612696826
1701,266834.0235444563
1702,229339.18843901646
1703,238531.33463492096
1704,271765.604874331
1705,249447.47328889227
1706,363822.23683059757
1707,205216.44844929565
1708,200803.65265608244
1709,258484.96658916792
1710,223034.97765915983
1711,281491.07426373824
1712,253596.18446044557
1713,271611.38040053716
